ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,CVEGEO,luces,ndvi,zurbana,Datos,AREA,DENSIDAD,POBTOT,TOTHOG,VIVTOT,TVIVHAB,TEMPERATURA
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1785,1.50E+12,63,0.154016098,0.601801981,1,0.199703412,18232.03701,3641,858,941,865,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,179A,150130001179A,63,0.154016098,0.601801981,1,0.149061879,12129.19096,1808,420,459,421,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1802,1.50E+12,63,0.156281383,0.792734077,1,0.201679191,15033.77712,3032,757,805,761,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1817,1.50E+12,63,0.156281383,0.792734077,1,0.379611995,6875.441334,2610,637,841,666,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1821,1.50E+12,63,0.210887711,0.554232645,1,0.121933552,0,0,0,0,0,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1840,1.50E+12,63,0.156281383,0.792734077,1,0.128612305,5823.704022,749,194,227,202,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,1874,1.50E+12,61,0.389207882,0.425434842,1,3.509829634,52.99402518,186,46,67,47,24.87598824
15,México,14,Atlacomulco,1,Total AGEB urbana,013A,150140001013A,47.5,0.235062277,0.183754712,1,0.930068498,2438.530071,2268,594,765,600,28.3116
15,México,14,Atlacomulco,1,Total AGEB urbana,214,1.50E+12,40,0.259646447,0.183754712,1,0.601058471,1487.376092,894,211,249,211,27.43546667
15,México,14,Atlacomulco,1,Total AGEB urbana,267,1.50E+12,50,0.262719469,0.183754712,1,0.528095161,2535.527871,1339,363,455,363,27.32595
15,México,14,Atlacomulco,1,Total AGEB urbana,271,1.50E+12,50,0.235062277,0.183754712,1,0.40212285,104.4456938,42,15,17,15,28.3116
